Ticker,Period,Metric,Value,DataType,Source,SourceDate,Note
KLB,2014-Q4,CAR,0.171,VERIFIED_HISTORICAL,Báo cáo XHTN KLB 8.2026 - Saigon Ratings tổng hợp,2026-08,Bổ sung lịch sử công bố; không nội suy
KLB,2015-Q4,CAR,0.129,VERIFIED_HISTORICAL,Báo cáo XHTN KLB 8.2026 - Saigon Ratings tổng hợp,2026-08,Bổ sung lịch sử công bố; không nội suy
KLB,2016-Q4,CAR,0.111,VERIFIED_HISTORICAL,Báo cáo XHTN KLB 8.2026 - Saigon Ratings tổng hợp,2026-08,Bổ sung lịch sử công bố; không nội suy
KLB,2017-Q4,CAR,0.111,VERIFIED_HISTORICAL,Báo cáo XHTN KLB 8.2026 - Saigon Ratings tổng hợp,2026-08,Bổ sung lịch sử công bố; không nội suy
KLB,2018-Q4,CAR,0.12,VERIFIED_HISTORICAL,Báo cáo XHTN KLB 8.2026 - Saigon Ratings tổng hợp,2026-08,Bổ sung lịch sử công bố; không nội suy
KLB,2019-Q4,CAR,0.112,VERIFIED_HISTORICAL,Báo cáo XHTN KLB 8.2026 - Saigon Ratings tổng hợp,2026-08,Bổ sung lịch sử công bố; không nội suy
KLB,2020-Q4,CAR,0.129,VERIFIED_HISTORICAL,Báo cáo XHTN KLB 8.2026 - Saigon Ratings tổng hợp,2026-08,Bổ sung lịch sử công bố; không nội suy
KLB,2021-Q4,CAR,0.123,VERIFIED_HISTORICAL,Báo cáo XHTN KLB 8.2026 - Saigon Ratings tổng hợp,2026-08,Bổ sung lịch sử công bố; không nội suy
KLB,2022-Q4,CAR,0.128,VERIFIED_HISTORICAL,Báo cáo XHTN KLB 8.2026 - Saigon Ratings tổng hợp,2026-08,Bổ sung lịch sử công bố; không nội suy
