Ticker,ICBCode1,ICBName1,ICBCode2,ICBName2,ICBCode3,ICBName3,ICBCode4,ICBName4
CC4,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CCA,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng,3000,Hàng Tiêu dùng
CCC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CCD,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CCI,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng,7000,Tiện ích Cộng đồng
CCL,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
CCM,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CCP,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CCR,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CCS,8000,Tài chính,8000,Tài chính,8000,Tài chính,8000,Tài chính
CCT,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CCV,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CDC,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CDG,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CDH,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CDN,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CDO,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CDP,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế,4000,Dược phẩm và Y tế
CDR,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CDV,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CE1,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CEE,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
CEG,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp,2000,Công nghiệp
