Ticker,Beta,SizePremium,LongTermGrowth,NormalizedROE,PayoutRatio,Note
VCB,0.9,0.0,0.055,,0.25,Editable
BID,1.0,0.0,0.05,,0.2,Editable
CTG,1.0,0.0,0.05,,0.2,Editable
TCB,1.05,0.0,0.055,,0.2,Editable
MBB,1.05,0.0,0.055,,0.2,Editable
ACB,0.95,0.0,0.05,,0.25,Editable
HDB,1.1,0.005,0.055,,0.15,Editable
VPB,1.2,0.005,0.055,,0.15,Editable
STB,1.1,0.005,0.05,,0.15,Editable
VIB,1.15,0.005,0.05,,0.15,Editable
SHB,1.15,0.005,0.05,,0.1,Editable
TPB,1.15,0.005,0.05,,0.15,Editable
LPB,1.1,0.005,0.05,,0.15,Editable
OCB,1.15,0.005,0.05,,0.15,Editable
MSB,1.1,0.005,0.05,,0.15,Editable
SSB,1.1,0.005,0.05,,0.15,Editable
EIB,1.05,0.005,0.045,,0.15,Editable
NAB,1.2,0.01,0.05,,0.1,Editable
KLB,1.25,0.01,0.045,,0.1,Editable
BAB,1.25,0.01,0.045,,0.1,Editable
