Ticker,DynamicPeerGroup,DynamicPeerCount,DynamicPeers
OCB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"PCB,SSB,MSB,VIB,EIB,TPB,BVB,VPB,VBB,STB"
PCB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"EIB,OCB,ABB,SSB,BAB,MSB,NAB,VBB,NVB,TPB"
PGB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"BVB,NVB,SGB,EIB,VAB,VBB,BAB,SSB,ABB,KLB"
SGB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"NVB,BVB,PGB,VBB,EIB,SSB,VAB,BAB,OCB,KLB"
SHB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"NAB,HDB,TPB,VIB,LPB,BID,SSB,ACB,MSB,VCB"
SSB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"EIB,OCB,MSB,PCB,TPB,VIB,VBB,BAB,SHB,BVB"
STB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"VIB,EIB,MSB,OCB,SSB,HDB,LPB,TPB,ACB,SHB"
TCB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"ACB,MBB,VPB,TPB,VCB,MSB,VIB,CTG,HDB,SHB"
TPB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"MSB,VIB,SSB,SHB,OCB,ACB,TCB,LPB,NAB,VPB"
VAB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"BAB,ABB,VBB,BVB,PGB,NVB,KLB,NAB,PCB,EIB"
VBB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"BAB,BVB,VAB,NVB,SSB,EIB,PCB,SGB,PGB,OCB"
VCB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"CTG,MBB,ACB,BID,TCB,HDB,SHB,TPB,VPB,NAB"
VIB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"MSB,TPB,OCB,ACB,SSB,LPB,HDB,STB,VPB,SHB"
VPB,Nhóm tương đồng động: 10 DN từ Ngân hàng niêm yết/ĐKGD,10,"TCB,VIB,HDB,MBB,TPB,ACB,OCB,SHB,MSB,VCB"
