Ticker,EntityType,MethodologyCoveragePct,MethodologyHave,MethodologyRequired,MissingCriticalMetrics,MethodologyReadiness
NLG,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
KDH,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
DXG,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
NVL,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
VIC,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
GAS,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
PVS,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
PVD,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
POW,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
REE,CORPORATE,0.0,0,9,DebtEBITDA|FFO_Debt|CFO_Debt|FOCF_Debt|InterestCoverage|ROE|ROA|CurrentRatio|NetMargin,THIẾU DỮ LIỆU
