TargetTicker,Ticker,SimilarityScore,DistanceScore,MetricsCoverage,PeerPool,SimilarityBasis,PeerRank,CompanyName,LegalName,Sector,EntityType
BID,CTG,0.8600500029071458,0.1399499970928542,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",1,VietinBank,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,BANK
BID,VCB,0.797592883307169,0.2024071166928309,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CASA",2,Vietcombank,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng,BANK
BID,MBB,0.766881795453224,0.2331182045467759,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",3,MB Bank,Ngân hàng TMCP Quân đội,Ngân hàng,BANK
BID,SHB,0.7555322983894412,0.2444677016105587,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",4,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng,BANK
BID,ACB,0.7466248037676608,0.2533751962323391,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CASA",5,ACB,Ngân hàng TMCP Á Châu,Ngân hàng,BANK
BID,NAB,0.7172393743822315,0.2827606256177685,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",6,Nam A Bank,Ngân hàng TMCP Nam Á,Ngân hàng,BANK
BID,LPB,0.6974475260189545,0.3025524739810454,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",7,LPBank,Ngân hàng TMCP Lộc Phát Việt Nam,Ngân hàng,BANK
BID,TPB,0.6668759811616953,0.3331240188383046,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",8,TPBank,Ngân hàng TMCP Tiên Phong,Ngân hàng,BANK
BID,HDB,0.6538868538868539,0.3461131461131462,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",9,HDBank,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng,BANK
BID,VPB,0.6506192220477934,0.3493807779522065,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CASA",10,VPBank,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng,BANK
BVB,SGB,0.8281760567474853,0.1718239432525147,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",1,SGB,SGB,Ngân hàng,BANK
BVB,NVB,0.8252947939120778,0.1747052060879221,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",2,NVB,NVB,Ngân hàng,BANK
BVB,PGB,0.81859410430839,0.18140589569161,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",3,PGB,PGB,Ngân hàng,BANK
BVB,VBB,0.8166724149193285,0.1833275850806714,0.81,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CASA",4,VBB,VBB,Ngân hàng,BANK
BVB,EIB,0.8002674574103146,0.1997325425896854,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",5,Eximbank,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Ngân hàng,BANK
BVB,VAB,0.77433571719286,0.22566428280714,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",6,VAB,VAB,Ngân hàng,BANK
BVB,OCB,0.7690447119018546,0.2309552880981453,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",7,OCB,Ngân hàng TMCP Phương Đông,Ngân hàng,BANK
BVB,SSB,0.7501366358509215,0.2498633641490784,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",8,SeABank,Ngân hàng TMCP Đông Nam Á,Ngân hàng,BANK
BVB,BAB,0.7350311064596778,0.2649688935403221,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",9,Bac A Bank,Ngân hàng TMCP Bắc Á,Ngân hàng,BANK
BVB,KLB,0.7216698645270073,0.2783301354729927,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, CASA, LDR",10,KienlongBank,Ngân hàng TMCP Kiên Long,Ngân hàng,BANK
CTG,VCB,0.8862608291179719,0.113739170882028,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",1,Vietcombank,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng,BANK
CTG,MBB,0.8677597534740392,0.1322402465259608,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",2,MB Bank,Ngân hàng TMCP Quân đội,Ngân hàng,BANK
CTG,BID,0.8600500029071458,0.1399499970928542,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NPL",3,BIDV,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng,BANK
CTG,ACB,0.803546717832432,0.1964532821675679,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",4,ACB,Ngân hàng TMCP Á Châu,Ngân hàng,BANK
CTG,LPB,0.7354846211989069,0.2645153788010931,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",5,LPBank,Ngân hàng TMCP Lộc Phát Việt Nam,Ngân hàng,BANK
CTG,TCB,0.728112099540671,0.271887900459329,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, NPL, ROE",6,Techcombank,Ngân hàng TMCP Kỹ Thương Việt Nam,Ngân hàng,BANK
CTG,HDB,0.7213907785336356,0.2786092214663643,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",7,HDBank,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng,BANK
CTG,NAB,0.7017152160009303,0.2982847839990697,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, CAR",8,Nam A Bank,Ngân hàng TMCP Nam Á,Ngân hàng,BANK
CTG,TPB,0.6961218675504389,0.3038781324495611,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",9,TPBank,Ngân hàng TMCP Tiên Phong,Ngân hàng,BANK
CTG,SHB,0.6927960927960928,0.3072039072039072,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",10,SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng,BANK
EIB,SSB,0.8746555032269318,0.1253444967730682,0.91,Ngân hàng niêm yết/ĐKGD,"TotalAssets, ROE, NIM",1,SeABank,Ngân hàng TMCP Đông Nam Á,Ngân hàng,BANK
EIB,PCB,0.8580857142857143,0.1419142857142857,0.32,Ngân hàng niêm yết/ĐKGD,TotalAssets,2,PCB,PCB,Ngân hàng,BANK
