Ticker,Period,Metric,Value,DataType,SourceMode
HPG,2026-Q2,TotalAssets,278929786247772.0,ACTUAL,VNSTOCK_BRONZE
HPG,2026-Q1,TotalAssets,259327500205228.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q4,TotalAssets,257899200817547.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q3,TotalAssets,246171338287652.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q2,TotalAssets,242224530919050.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q1,TotalAssets,228861587788307.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q4,TotalAssets,224489707553981.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q3,TotalAssets,211386343928118.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q2,TotalAssets,206609079731195.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q1,TotalAssets,201940225528507.0,ACTUAL,VNSTOCK_BRONZE
HPG,2023-Q4,TotalAssets,187782586563801.0,ACTUAL,VNSTOCK_BRONZE
HPG,2023-Q3,TotalAssets,173507011684572.0,ACTUAL,VNSTOCK_BRONZE
HPG,2023-Q2,TotalAssets,176243321739441.0,ACTUAL,VNSTOCK_BRONZE
HPG,2023-Q1,TotalAssets,175408611174320.0,ACTUAL,VNSTOCK_BRONZE
HPG,2022-Q4,TotalAssets,170335521637131.0,ACTUAL,VNSTOCK_BRONZE
HPG,2022-Q3,TotalAssets,183805111144198.0,ACTUAL,VNSTOCK_BRONZE
HPG,2022-Q2,TotalAssets,207496628090862.0,ACTUAL,VNSTOCK_BRONZE
HPG,2022-Q1,TotalAssets,185847109194471.0,ACTUAL,VNSTOCK_BRONZE
HPG,2021-Q4,TotalAssets,178235973830248.0,ACTUAL,VNSTOCK_BRONZE
HPG,2021-Q3,TotalAssets,174643274131664.0,ACTUAL,VNSTOCK_BRONZE
HPG,2021-Q2,TotalAssets,159809151198694.0,ACTUAL,VNSTOCK_BRONZE
HPG,2021-Q1,TotalAssets,138982269644710.0,ACTUAL,VNSTOCK_BRONZE
HPG,2020-Q4,TotalAssets,131511436895020.0,ACTUAL,VNSTOCK_BRONZE
HPG,2020-Q3,TotalAssets,117472262169551.0,ACTUAL,VNSTOCK_BRONZE
HPG,2020-Q2,TotalAssets,112644200672558.0,ACTUAL,VNSTOCK_BRONZE
HPG,2020-Q1,TotalAssets,107108967116223.0,ACTUAL,VNSTOCK_BRONZE
HPG,2019-Q4,TotalAssets,101790659386899.0,ACTUAL,VNSTOCK_BRONZE
HPG,2019-Q3,TotalAssets,97448356345750.0,ACTUAL,VNSTOCK_BRONZE
HPG,2019-Q2,TotalAssets,93019261745907.0,ACTUAL,VNSTOCK_BRONZE
HPG,2019-Q1,TotalAssets,84946729758992.0,ACTUAL,VNSTOCK_BRONZE
HPG,2018-Q4,TotalAssets,78224962647939.0,ACTUAL,VNSTOCK_BRONZE
HPG,2018-Q3,TotalAssets,70102771920834.0,ACTUAL,VNSTOCK_BRONZE
HPG,2018-Q2,TotalAssets,62078341932140.0,ACTUAL,VNSTOCK_BRONZE
HPG,2018-Q1,TotalAssets,54437483969361.0,ACTUAL,VNSTOCK_BRONZE
HPG,2026-Q2,Equity,141516026790697.0,ACTUAL,VNSTOCK_BRONZE
HPG,2026-Q1,Equity,139781792206472.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q4,Equity,131220010876575.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q3,Equity,127516012099269.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q2,Equity,122359504913282.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q1,Equity,117996879089129.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q4,Equity,114647457983699.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q3,Equity,111779097236460.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q2,Equity,108676564894031.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q1,Equity,105624580573088.0,ACTUAL,VNSTOCK_BRONZE
HPG,2023-Q4,Equity,102836419239379.0,ACTUAL,VNSTOCK_BRONZE
HPG,2023-Q3,Equity,99865188256444.0,ACTUAL,VNSTOCK_BRONZE
HPG,2023-Q2,Equity,97860291061122.0,ACTUAL,VNSTOCK_BRONZE
HPG,2023-Q1,Equity,96437975271673.0,ACTUAL,VNSTOCK_BRONZE
HPG,2022-Q4,Equity,96112939615783.0,ACTUAL,VNSTOCK_BRONZE
HPG,2022-Q3,Equity,98075482927856.0,ACTUAL,VNSTOCK_BRONZE
HPG,2022-Q2,Equity,99915401148975.0,ACTUAL,VNSTOCK_BRONZE
HPG,2022-Q1,Equity,98957937963037.0,ACTUAL,VNSTOCK_BRONZE
HPG,2021-Q4,Equity,90780176983438.0,ACTUAL,VNSTOCK_BRONZE
HPG,2021-Q3,Equity,84325684009499.0,ACTUAL,VNSTOCK_BRONZE
HPG,2021-Q2,Equity,73984439097755.0,ACTUAL,VNSTOCK_BRONZE
HPG,2021-Q1,Equity,66221560358804.0,ACTUAL,VNSTOCK_BRONZE
HPG,2020-Q4,Equity,59219788805917.0,ACTUAL,VNSTOCK_BRONZE
HPG,2020-Q3,Equity,54987270970996.0,ACTUAL,VNSTOCK_BRONZE
HPG,2020-Q2,Equity,52580576274016.0,ACTUAL,VNSTOCK_BRONZE
HPG,2020-Q1,Equity,50063408905154.0,ACTUAL,VNSTOCK_BRONZE
HPG,2019-Q4,Equity,47787787089307.0,ACTUAL,VNSTOCK_BRONZE
HPG,2019-Q3,Equity,46049525945374.0,ACTUAL,VNSTOCK_BRONZE
HPG,2019-Q2,Equity,44256089853007.0,ACTUAL,VNSTOCK_BRONZE
HPG,2019-Q1,Equity,42211124342036.0,ACTUAL,VNSTOCK_BRONZE
HPG,2018-Q4,Equity,40608949840810.0,ACTUAL,VNSTOCK_BRONZE
HPG,2018-Q3,Equity,39033700617587.0,ACTUAL,VNSTOCK_BRONZE
HPG,2018-Q2,Equity,36626843816306.0,ACTUAL,VNSTOCK_BRONZE
HPG,2018-Q1,Equity,34428192910709.0,ACTUAL,VNSTOCK_BRONZE
HPG,2026-Q2,Cash,9782057360909.0,ACTUAL,VNSTOCK_BRONZE
HPG,2026-Q1,Cash,11455231038505.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q4,Cash,8300890304205.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q3,Cash,9092562739415.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q2,Cash,10688024277258.0,ACTUAL,VNSTOCK_BRONZE
HPG,2025-Q1,Cash,7459035818129.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q4,Cash,6887646139852.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q3,Cash,8500998079280.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q2,Cash,13032037853283.0,ACTUAL,VNSTOCK_BRONZE
HPG,2024-Q1,Cash,12428888036237.0,ACTUAL,VNSTOCK_BRONZE
