Ticker,Date,Close
ACB,2021-01-04 07:00:00,9.27
ACB,2021-01-05 07:00:00,9.49
ACB,2021-01-06 07:00:00,9.67
ACB,2021-01-07 07:00:00,9.67
ACB,2021-01-08 07:00:00,9.77
ACB,2021-01-11 07:00:00,9.82
ACB,2021-01-12 07:00:00,9.74
ACB,2021-01-13 07:00:00,9.66
ACB,2021-01-14 07:00:00,9.66
ACB,2021-01-15 07:00:00,9.79
ACB,2021-01-18 07:00:00,9.69
ACB,2021-01-19 07:00:00,9.03
ACB,2021-01-20 07:00:00,9.16
ACB,2021-01-21 07:00:00,9.37
ACB,2021-01-22 07:00:00,9.27
ACB,2021-01-25 07:00:00,9.09
ACB,2021-01-26 07:00:00,8.99
ACB,2021-01-27 07:00:00,8.9
ACB,2021-01-28 07:00:00,8.28
ACB,2021-01-29 07:00:00,8.67
ACB,2021-02-01 07:00:00,8.62
ACB,2021-02-02 07:00:00,8.85
ACB,2021-02-03 07:00:00,9.09
ACB,2021-02-04 07:00:00,9.12
ACB,2021-02-05 07:00:00,9.22
ACB,2021-02-08 07:00:00,8.9
ACB,2021-02-09 07:00:00,9.24
ACB,2021-02-17 07:00:00,9.51
ACB,2021-02-18 07:00:00,9.43
ACB,2021-02-19 07:00:00,10.06
ACB,2021-02-22 07:00:00,10.22
ACB,2021-02-23 07:00:00,10.26
ACB,2021-02-24 07:00:00,10.09
ACB,2021-02-25 07:00:00,10.48
ACB,2021-02-26 07:00:00,10.69
ACB,2021-03-01 07:00:00,10.76
ACB,2021-03-02 07:00:00,10.68
ACB,2021-03-03 07:00:00,10.76
ACB,2021-03-04 07:00:00,10.48
ACB,2021-03-05 07:00:00,10.5
ACB,2021-03-08 07:00:00,10.29
ACB,2021-03-09 07:00:00,10.37
ACB,2021-03-10 07:00:00,10.6
ACB,2021-03-11 07:00:00,10.68
ACB,2021-03-12 07:00:00,10.66
ACB,2021-03-15 07:00:00,10.84
ACB,2021-03-16 07:00:00,10.82
ACB,2021-03-17 07:00:00,10.84
ACB,2021-03-18 07:00:00,10.98
ACB,2021-03-19 07:00:00,10.94
ACB,2021-03-22 07:00:00,10.81
ACB,2021-03-23 07:00:00,10.68
ACB,2021-03-24 07:00:00,10.5
ACB,2021-03-25 07:00:00,10.37
ACB,2021-03-26 07:00:00,10.5
ACB,2021-03-29 07:00:00,10.68
ACB,2021-03-30 07:00:00,10.77
ACB,2021-03-31 07:00:00,10.77
ACB,2021-04-01 07:00:00,10.95
ACB,2021-04-02 07:00:00,11.21
ACB,2021-04-05 07:00:00,11.24
ACB,2021-04-06 07:00:00,11.24
ACB,2021-04-07 07:00:00,11.13
ACB,2021-04-08 07:00:00,11.13
ACB,2021-04-09 07:00:00,11.13
ACB,2021-04-12 07:00:00,11.37
ACB,2021-04-13 07:00:00,11.19
ACB,2021-04-14 07:00:00,11.19
ACB,2021-04-15 07:00:00,10.95
ACB,2021-04-16 07:00:00,10.71
ACB,2021-04-19 07:00:00,10.9
ACB,2021-04-20 07:00:00,10.87
ACB,2021-04-22 07:00:00,10.51
ACB,2021-04-23 07:00:00,10.81
ACB,2021-04-26 07:00:00,10.77
ACB,2021-04-27 07:00:00,11.0
ACB,2021-04-28 07:00:00,10.94
ACB,2021-04-29 07:00:00,11.21
ACB,2021-05-04 07:00:00,11.14
ACB,2021-05-05 07:00:00,11.42
ACB,2021-05-06 07:00:00,11.26
ACB,2021-05-07 07:00:00,11.39
ACB,2021-05-10 07:00:00,11.71
ACB,2021-05-11 07:00:00,11.58
ACB,2021-05-12 07:00:00,11.7
