Ticker,CompanyName,EntityType,Sector,Exchange,PeerGroup,Methodology,Price,BalanceSheet,IncomeStatement,SpecialMetrics,PeerMapped,MethodologyEligible,CoveragePct,Readiness
AAS,SmartInvest Securities,SECURITIES,Công ty chứng khoán,UPCOM,CTCK quy mô nhỏ,SECURITIES_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
HPG,Hoa Phat Group,CORPORATE,Thép,HOSE,Thép,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
HSG,Hoa Sen Group,CORPORATE,Thép,HOSE,Thép,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
NKG,Nam Kim Steel,CORPORATE,Thép,HOSE,Thép,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
VHM,Vinhomes,CORPORATE,Bất động sản,HOSE,Bất động sản nhà ở,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
NLG,Nam Long,CORPORATE,Bất động sản,HOSE,Bất động sản nhà ở,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
KDH,Khang Dien House,CORPORATE,Bất động sản,HOSE,Bất động sản nhà ở,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
DXG,Dat Xanh Group,CORPORATE,Bất động sản,HOSE,Bất động sản nhà ở,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
NVL,Novaland,CORPORATE,Bất động sản,HOSE,Bất động sản nhà ở,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
VIC,Vingroup,CORPORATE,Tập đoàn đầu tư,HOSE,IHC,EXCLUDED_SPECIALIZED,0,0,0,0,1,0,0.25,INSUFFICIENT_DATA
GAS,PV GAS,CORPORATE,Dầu khí,HOSE,Dầu khí,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
PVS,PTSC,CORPORATE,Dầu khí,HNX,Dầu khí,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
PVD,PV Drilling,CORPORATE,Dầu khí,HOSE,Dầu khí,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
POW,PV Power,CORPORATE,Điện,HOSE,Điện,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
REE,REE Corporation,CORPORATE,Điện,HOSE,Điện,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
PC1,PC1 Group,CORPORATE,Điện,HOSE,Điện,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
NT2,PV Power Nhon Trach 2,CORPORATE,Điện,HOSE,Điện,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
MWG,Mobile World,CORPORATE,Bán lẻ,HOSE,Bán lẻ,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
FRT,FPT Retail,CORPORATE,Bán lẻ,HOSE,Bán lẻ,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
PNJ,Phu Nhuan Jewelry,CORPORATE,Bán lẻ,HOSE,Bán lẻ,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
FPT,FPT Corporation,CORPORATE,Công nghệ,HOSE,Công nghệ,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
CMG,CMC Corporation,CORPORATE,Công nghệ,HOSE,Công nghệ,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
GMD,Gemadept,CORPORATE,Logistics,HOSE,Logistics,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
HAH,Hai An Transport,CORPORATE,Logistics,HOSE,Logistics,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
VSC,Viconship,CORPORATE,Logistics,HOSE,Logistics,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
VNM,Vinamilk,CORPORATE,Thực phẩm,HOSE,Thực phẩm,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
MSN,Masan Group,CORPORATE,Hàng tiêu dùng,HOSE,Hàng tiêu dùng,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
SAB,Sabeco,CORPORATE,Đồ uống,HOSE,Đồ uống,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
DGC,Duc Giang Chemicals,CORPORATE,Hóa chất,HOSE,Hóa chất,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
DPM,PVFCCo,CORPORATE,Hóa chất,HOSE,Hóa chất,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
DCM,Ca Mau Fertilizer,CORPORATE,Hóa chất,HOSE,Hóa chất,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
CTD,Coteccons,CORPORATE,Xây dựng,HOSE,Xây dựng,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
HHV,Deo Ca Traffic Infrastructure,CORPORATE,Hạ tầng,HOSE,Hạ tầng,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
C4G,CIENCO4,CORPORATE,Hạ tầng,UPCOM,Hạ tầng,CORPORATE_2025,0,0,0,0,1,1,0.25,INSUFFICIENT_DATA
VJC,Vietjet Air,CORPORATE,Hàng không,HOSE,Hàng không,EXCLUDED_SPECIALIZED,0,0,0,0,1,0,0.25,INSUFFICIENT_DATA
HVN,Vietnam Airlines,CORPORATE,Hàng không,HOSE,Hàng không,EXCLUDED_SPECIALIZED,0,0,0,0,1,0,0.25,INSUFFICIENT_DATA
